Entit�;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ABCCS;01;3MD001;2019-10-06;15:00;0351501;UGS VOLLEY BALL CESSON-CHANTEPIE-VERN;;xxxxx;;;;2 RUISSEAUX;;;;
ABCCS;01;3MD002;2019-10-06;15:00;0293600;SAINT-RENAN IROISE VOLLEY;0449605;ST NAZAIRE VB ATLANTIQUE 3;;;;SALLE GUYADER;;;;
ABCCS;01;3MD003;2019-10-06;15:00;0293606;KLOAR-AVEN VB 29;0229106;GOELO COTES D'ARMOR VOLLEY-BALL;;;;SALLE DES SPORTS;;;;
ABCCS;01;3MD004;2019-10-06;15:00;0534442;ASPTT LAVAL;0351428;E.SP. CANTON DE PIPRIAC V.B.;;;;GYMNASE NOEMIE HAMARD;;;;
ABCCS;01;3MD005;2019-10-06;14:00;0442477;ASB REZE 3;0351417;RENNES ETUDIANTS CLUB;;;;GYMNASE LIBERGE;;;;
ABCCS;01;3MD006;2019-10-06;15:00;0355169;VOLLEY BALL CLUB MALOUIN;0353652;C.P.B. RENNES 35;;;;MARVILLE;;;;
ABCCS;02;3MD007;2019-10-13;15:00;0355169;VOLLEY BALL CLUB MALOUIN;;xxxxx;;;;MARVILLE;;;;
ABCCS;02;3MD008;2019-10-13;15:00;0353652;C.P.B. RENNES 35;0442477;ASB REZE 3;;;;GYMNASE CDT BOUGOUIN;;;;
ABCCS;02;3MD009;2019-10-13;15:00;0351417;RENNES ETUDIANTS CLUB;0534442;ASPTT LAVAL;;;;COURTEMANCHE;;;;
ABCCS;02;3MD010;2019-10-13;15:00;0351428;E.SP. CANTON DE PIPRIAC V.B.;0293606;KLOAR-AVEN VB 29;;;;COMPLEXE DES TERRES ROUGES;;;;
ABCCS;02;3MD011;2019-10-13;15:00;0229106;GOELO COTES D'ARMOR VOLLEY-BALL;0293600;SAINT-RENAN IROISE VOLLEY;;;;LP DE LA CLOSERIE;;;;
ABCCS;02;3MD012;2019-10-13;14:00;0449605;ST NAZAIRE VB ATLANTIQUE 3;0351501;UGS VOLLEY BALL CESSON-CHANTEPIE-VERN;;;;COUBERTIN;;;;
ABCCS;03;3MD013;2019-10-27;15:00;;xxxxx;0449605;ST NAZAIRE VB ATLANTIQUE 3;;;;;;;;
ABCCS;03;3MD014;2019-10-27;15:00;0351501;UGS VOLLEY BALL CESSON-CHANTEPIE-VERN;0229106;GOELO COTES D'ARMOR VOLLEY-BALL;;;;2 RUISSEAUX;;;;
ABCCS;03;3MD015;2019-10-27;15:00;0293600;SAINT-RENAN IROISE VOLLEY;0351428;E.SP. CANTON DE PIPRIAC V.B.;;;;SALLE GUYADER;;;;
ABCCS;03;3MD016;2019-10-27;15:00;0293606;KLOAR-AVEN VB 29;0351417;RENNES ETUDIANTS CLUB;;;;SALLE DES SPORTS;;;;
ABCCS;03;3MD017;2019-10-27;15:00;0534442;ASPTT LAVAL;0353652;C.P.B. RENNES 35;;;;GYMNASE NOEMIE HAMARD;;;;
ABCCS;03;3MD018;2019-10-27;14:00;0442477;ASB REZE 3;0355169;VOLLEY BALL CLUB MALOUIN;;;;GYMNASE LIBERGE;;;;
ABCCS;04;3MD019;2019-11-03;16:00;0442477;ASB REZE 3;;xxxxx;;;;GYMNASE LIBERGE;;;;
ABCCS;04;3MD020;2019-11-03;15:00;0355169;VOLLEY BALL CLUB MALOUIN;0534442;ASPTT LAVAL;;;;MARVILLE;;;;
ABCCS;04;3MD021;2019-11-03;15:00;0353652;C.P.B. RENNES 35;0293606;KLOAR-AVEN VB 29;;;;GYMNASE CDT BOUGOUIN;;;;
ABCCS;04;3MD022;2019-11-03;15:00;0351417;RENNES ETUDIANTS CLUB;0293600;SAINT-RENAN IROISE VOLLEY;;;;COURTEMANCHE;;;;
ABCCS;04;3MD023;2019-11-03;15:00;0351428;E.SP. CANTON DE PIPRIAC V.B.;0351501;UGS VOLLEY BALL CESSON-CHANTEPIE-VERN;;;;COMPLEXE DES TERRES ROUGES;;;;
ABCCS;04;3MD024;2019-11-03;15:00;0229106;GOELO COTES D'ARMOR VOLLEY-BALL;0449605;ST NAZAIRE VB ATLANTIQUE 3;;;;LP DE LA CLOSERIE;;;;
ABCCS;05;3MD025;2019-11-10;15:00;;xxxxx;0229106;GOELO COTES D'ARMOR VOLLEY-BALL;;;;;;;;
ABCCS;05;3MD026;2019-11-10;14:00;0449605;ST NAZAIRE VB ATLANTIQUE 3;0351428;E.SP. CANTON DE PIPRIAC V.B.;;;;COUBERTIN;;;;
ABCCS;05;3MD027;2019-11-10;15:00;0351501;UGS VOLLEY BALL CESSON-CHANTEPIE-VERN;0351417;RENNES ETUDIANTS CLUB;;;;2 RUISSEAUX;;;;
ABCCS;05;3MD028;2019-11-10;15:00;0293600;SAINT-RENAN IROISE VOLLEY;0353652;C.P.B. RENNES 35;;;;SALLE GUYADER;;;;
ABCCS;05;3MD029;2019-11-10;15:00;0293606;KLOAR-AVEN VB 29;0355169;VOLLEY BALL CLUB MALOUIN;;;;SALLE DES SPORTS;;;;
ABCCS;05;3MD030;2019-11-10;15:00;0534442;ASPTT LAVAL;0442477;ASB REZE 3;;;;GYMNASE NOEMIE HAMARD;;;;
ABCCS;06;3MD031;2019-11-24;15:00;0534442;ASPTT LAVAL;;xxxxx;;;;GYMNASE NOEMIE HAMARD;;;;
ABCCS;06;3MD032;2019-11-24;14:00;0442477;ASB REZE 3;0293606;KLOAR-AVEN VB 29;;;;GYMNASE LIBERGE;;;;
ABCCS;06;3MD033;2019-11-24;15:00;0355169;VOLLEY BALL CLUB MALOUIN;0293600;SAINT-RENAN IROISE VOLLEY;;;;MARVILLE;;;;
ABCCS;06;3MD034;2019-11-24;15:00;0353652;C.P.B. RENNES 35;0351501;UGS VOLLEY BALL CESSON-CHANTEPIE-VERN;;;;GYMNASE CDT BOUGOUIN;;;;
ABCCS;06;3MD035;2019-11-24;15:00;0351417;RENNES ETUDIANTS CLUB;0449605;ST NAZAIRE VB ATLANTIQUE 3;;;;COURTEMANCHE;;;;
ABCCS;06;3MD036;2019-11-24;15:00;0351428;E.SP. CANTON DE PIPRIAC V.B.;0229106;GOELO COTES D'ARMOR VOLLEY-BALL;;;;COMPLEXE DES TERRES ROUGES;;;;
ABCCS;07;3MD037;2019-12-01;15:00;;xxxxx;0351428;E.SP. CANTON DE PIPRIAC V.B.;;;;;;;;
ABCCS;07;3MD038;2019-12-01;15:00;0229106;GOELO COTES D'ARMOR VOLLEY-BALL;0351417;RENNES ETUDIANTS CLUB;;;;LP DE LA CLOSERIE;;;;
ABCCS;07;3MD039;2019-12-01;14:00;0449605;ST NAZAIRE VB ATLANTIQUE 3;0353652;C.P.B. RENNES 35;;;;COUBERTIN;;;;
ABCCS;07;3MD040;2019-12-01;15:00;0351501;UGS VOLLEY BALL CESSON-CHANTEPIE-VERN;0355169;VOLLEY BALL CLUB MALOUIN;;;;2 RUISSEAUX;;;;
ABCCS;07;3MD041;2019-12-01;15:00;0293600;SAINT-RENAN IROISE VOLLEY;0442477;ASB REZE 3;;;;SALLE GUYADER;;;;
ABCCS;07;3MD042;2019-12-01;15:00;0293606;KLOAR-AVEN VB 29;0534442;ASPTT LAVAL;;;;SALLE DES SPORTS;;;;
ABCCS;08;3MD043;2019-12-08;15:00;0293606;KLOAR-AVEN VB 29;;xxxxx;;;;SALLE DES SPORTS;;;;
ABCCS;08;3MD044;2019-12-08;15:00;0534442;ASPTT LAVAL;0293600;SAINT-RENAN IROISE VOLLEY;;;;GYMNASE NOEMIE HAMARD;;;;
ABCCS;08;3MD045;2019-12-08;16:00;0442477;ASB REZE 3;0351501;UGS VOLLEY BALL CESSON-CHANTEPIE-VERN;;;;GYMNASE LIBERGE;;;;
ABCCS;08;3MD046;2019-12-08;15:00;0355169;VOLLEY BALL CLUB MALOUIN;0449605;ST NAZAIRE VB ATLANTIQUE 3;;;;MARVILLE;;;;
ABCCS;08;3MD047;2019-12-08;15:00;0353652;C.P.B. RENNES 35;0229106;GOELO COTES D'ARMOR VOLLEY-BALL;;;;GYMNASE CDT BOUGOUIN;;;;
ABCCS;08;3MD048;2019-12-08;15:00;0351417;RENNES ETUDIANTS CLUB;0351428;E.SP. CANTON DE PIPRIAC V.B.;;;;COURTEMANCHE;;;;
ABCCS;09;3MD049;2020-01-12;15:00;;xxxxx;0351417;RENNES ETUDIANTS CLUB;;;;;;;;
ABCCS;09;3MD050;2020-01-12;15:00;0351428;E.SP. CANTON DE PIPRIAC V.B.;0353652;C.P.B. RENNES 35;;;;COMPLEXE DES TERRES ROUGES;;;;
ABCCS;09;3MD051;2020-01-12;15:00;0229106;GOELO COTES D'ARMOR VOLLEY-BALL;0355169;VOLLEY BALL CLUB MALOUIN;;;;LP DE LA CLOSERIE;;;;
