Entité;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ABCCS;01;3MD001;2020-09-27;15:00;0442477;ASB REZE 3;;xxxxx;;;;GYMNASE LIBERGE;;;;
ABCCS;01;3MD002;2020-09-27;15:00;0293600;SAINT-RENAN IROISE VOLLEY;0857865;AVENIR SPORTIF DE BOUFFERE;;;;SALLE GUYADER;;;;
ABCCS;01;3MD003;2020-09-27;16:00;0353652;C.P.B. RENNES 35;0449605;ST NAZAIRE VB ATLANTIQUE 3;;;;GYMNASE CDT BOUGOUIN;;;;
ABCCS;01;3MD004;2020-09-27;15:00;0351417;RENNES ETUDIANTS CLUB 3;0448335;SAINT-HERBLAIN VOLLEY-BALL;;;;COURTEMANCHE;;;;
ABCCS;01;3MD005;2020-09-27;15:00;0228400;CESSON VOLLEY SAINT-BRIEUC COTES D'ARMOR 2;0355169;VOLLEY BALL CLUB MALOUIN;;;;SALLE STEREDENN;;;;
ABCCS;01;3MD006;2020-09-27;15:00;0351501;UGS VOLLEY BALL CESSON-CHANTEPIE-VERN;0351428;E.SP. CANTON DE PIPRIAC V.B.;;;;2 RUISSEAUX;;;;
ABCCS;02;3MD007;2020-10-04;15:00;0351501;UGS VOLLEY BALL CESSON-CHANTEPIE-VERN;;xxxxx;;;;2 RUISSEAUX;;;;
ABCCS;02;3MD008;2020-10-03;21:00;0351428;E.SP. CANTON DE PIPRIAC V.B.;0228400;CESSON VOLLEY SAINT-BRIEUC COTES D'ARMOR 2;;;;COMPLEXE DES TERRES ROUGES;;;;
ABCCS;02;3MD009;2020-10-04;16:00;0355169;VOLLEY BALL CLUB MALOUIN;0351417;RENNES ETUDIANTS CLUB 3;;;;MARVILLE;;;;
ABCCS;02;3MD010;2020-10-04;13:30;0448335;SAINT-HERBLAIN VOLLEY-BALL;0353652;C.P.B. RENNES 35;;;;COMPLEXE SPORTIF VIGNEAU;;;;
ABCCS;02;3MD011;2020-10-04;14:00;0449605;ST NAZAIRE VB ATLANTIQUE 3;0293600;SAINT-RENAN IROISE VOLLEY;;;;COUBERTIN;;;;
ABCCS;02;3MD012;2020-10-03;20:00;0857865;AVENIR SPORTIF DE BOUFFERE;0442477;ASB REZE 3;;;;BHS;;;;
ABCCS;03;3MD013;2020-10-11;15:00;;xxxxx;0857865;AVENIR SPORTIF DE BOUFFERE;;;;;;;;
ABCCS;03;3MD014;2020-10-11;14:00;0442477;ASB REZE 3;0449605;ST NAZAIRE VB ATLANTIQUE 3;;;;GYMNASE LIBERGE;;;;
ABCCS;03;3MD015;2020-10-11;15:00;0293600;SAINT-RENAN IROISE VOLLEY;0448335;SAINT-HERBLAIN VOLLEY-BALL;;;;SALLE GUYADER;;;;
ABCCS;03;3MD016;2020-10-11;16:00;0353652;C.P.B. RENNES 35;0355169;VOLLEY BALL CLUB MALOUIN;;;;GYMNASE CDT BOUGOUIN;;;;
ABCCS;03;3MD017;2020-10-10;21:00;0351417;RENNES ETUDIANTS CLUB 3;0351428;E.SP. CANTON DE PIPRIAC V.B.;;;;COURTEMANCHE;;;;
ABCCS;03;3MD018;2020-10-11;15:00;0228400;CESSON VOLLEY SAINT-BRIEUC COTES D'ARMOR 2;0351501;UGS VOLLEY BALL CESSON-CHANTEPIE-VERN;;;;SALLE STEREDENN;;;;
ABCCS;04;3MD019;2020-10-25;15:00;0228400;CESSON VOLLEY SAINT-BRIEUC COTES D'ARMOR 2;;xxxxx;;;;SALLE STEREDENN;;;;
