Entité;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ABCCS;01;2MB001;2024-09-29;14:00;0927953;ASNIERES VOLLEY 92;;xxxxx;;;;GYMNASE DES COURTILLES;;;
ABCCS;01;2MB002;2024-09-28;20:00;0534442;ASPTT LAVAL;0788680;AS. SP DE SARTROUVILLE;;;;SALLE POLYVALENTE;;;
ABCCS;01;2MB003;2024-09-28;19:30;0920003;ACBB VSO;0442477;AILES SP BOUGUENAIS REZE;;;;GYMNASE COUCHOT;;;
ABCCS;01;2MB004;2024-09-29;14:00;0284553;C'CHARTRES VOLLEY;0786162;VOLLEY-CLUB PLAISIR-VILLEPREUX;;;;HALLE DES SPORTS JEAN COCHET;;;
ABCCS;01;2MB005;2024-09-29;16:00;0798259;VOLLEY-BALL PEXINOIS NIORT;0293600;SAINT-RENAN IROISE VOLLEY;;;;HENRI BARBUSSE;;;
ABCCS;01;2MB006;2024-09-29;16:00;0374833;SAINT AVERTIN SPORTS;0491492;SPORTING CLUB DE L OUEST;;;;GYMNASE LEON BRULON;;;
ABCCS;02;2MB007;2024-10-06;16:00;0374833;SAINT AVERTIN SPORTS;;xxxxx;;;;GYMNASE LEON BRULON;;;
ABCCS;02;2MB008;2024-10-06;15:00;0491492;SPORTING CLUB DE L OUEST;0798259;VOLLEY-BALL PEXINOIS NIORT;;;;CENTRE SPORTIF DE LA ROSERAIE;;;
ABCCS;02;2MB009;2024-10-06;15:00;0293600;SAINT-RENAN IROISE VOLLEY;0284553;C'CHARTRES VOLLEY;;;;SALLE TREVISQUIN;;;
ABCCS;02;2MB010;2024-10-06;16:00;0786162;VOLLEY-CLUB PLAISIR-VILLEPREUX;0920003;ACBB VSO;;;;GYMNASE MARIE THÉRÈSE EYQUEM;;;
ABCCS;02;2MB011;2024-10-06;14:00;0442477;AILES SP BOUGUENAIS REZE;0534442;ASPTT LAVAL;;;;GYMNASE LIBERGE;;;
ABCCS;02;2MB012;2024-10-05;20:30;0788680;AS. SP DE SARTROUVILLE;0927953;ASNIERES VOLLEY 92;;;;CARNOT;;;
ABCCS;03;2MB013;2024-10-20;15:00;;xxxxx;0788680;AS. SP DE SARTROUVILLE;;;;;;;
ABCCS;03;2MB014;2024-10-20;14:00;0927953;ASNIERES VOLLEY 92;0442477;AILES SP BOUGUENAIS REZE;;;;GYMNASE DES COURTILLES;;;
ABCCS;03;2MB015;2024-10-20;15:00;0534442;ASPTT LAVAL;0786162;VOLLEY-CLUB PLAISIR-VILLEPREUX;;;;SALLE POLYVALENTE;;;
ABCCS;03;2MB016;2024-10-20;14:00;0920003;ACBB VSO;0293600;SAINT-RENAN IROISE VOLLEY;;;;GYMNASE COUCHOT;;;
